Alticola tuvinicus,body length,18
Alticola tuvinicus,body mass,18
Alticola tuvinicus,ear length to notch,18
Alticola tuvinicus,pes length,18
Alticola tuvinicus,tail length,18
Amblonyx cinereus,body length,1
Amblysomus hottentotus,body length,4
Amblysomus hottentotus,body mass,2
Amblysomus hottentotus,ear length to notch,3
Amblysomus hottentotus,pes length,3
Amblysomus hottentotus,tail length,3
Ammormophilus,body length,10
Ammormophilus,body mass,5
Ammormophilus,ear length to notch,7
Ammormophilus,pes length,10
Ammormophilus,tail length,10
Ammormophilus harrisii,body length,362
Ammormophilus harrisii,body mass,184
Ammormophilus harrisii,ear length to notch,307
Ammormophilus harrisii,pes length,355
Ammormophilus harrisii,tail length,356
Ammormophilus insularis,body length,5
Ammormophilus insularis,body mass,4
Ammormophilus insularis,ear length to notch,5
Ammormophilus insularis,pes length,5
Ammormophilus insularis,tail length,5
Ammormophilus interpres,body length,79
Ammormophilus interpres,body mass,38
Ammormophilus interpres,ear length to notch,79
Ammormophilus interpres,pes length,81
Ammormophilus interpres,tail length,87
Ammormophilus leucurus,body length,1756
Ammormophilus leucurus,body mass,804
Ammormophilus leucurus,ear length to notch,1605
Ammormophilus leucurus,pes length,1730
Ammormophilus leucurus,tail length,1734
Ammormophilus nelsoni,body length,100
Ammormophilus nelsoni,body mass,61
Ammormophilus nelsoni,ear length to notch,75
Ammormophilus nelsoni,pes length,90
Ammormophilus nelsoni,tail length,90
Ammotragus lervia,body length,8
Ammotragus lervia,ear length to notch,3
Ammotragus lervia,pes length,4
Ammotragus lervia,tail length,4
Amphechinus arvernensis,body length,1
Amphiperatherium exile,body length,1
Andalgalomys olrogi,body length,10
Andalgalomys olrogi,body mass,10
Andalgalomys olrogi,ear length to notch,10
Andalgalomys olrogi,pes length,10
Andalgalomys olrogi,tail length,10
Andalgalomys pearsoni,body length,22
Andalgalomys pearsoni,body mass,20
Andalgalomys pearsoni,ear length to notch,17
Andalgalomys pearsoni,pes length,5
Andalgalomys pearsoni,tail length,20
Andalgalomys roigi,body length,10
Andalgalomys roigi,body mass,9
Andalgalomys roigi,ear length to notch,9
